,Unnamed: 0,id,text,clean_tweet,created_at,source,retweets,replies,likes,quote_count,sentiment
0,0,1582793481944109056,Kate flat out admitted to being a cougar and not liking guys like Jacob but that she gotta do what she gotta do to stay in paradise. #BachelorInParadise,Kate flat out admitted to being a cougar and not liking guys like Jacob but that she gotta do what she gotta do to stay in paradise BachelorInParadise,2022-10-19 17:59:07+00:00,Twitter for Android,0,0,0,0,Neutral
1,1,1582793343977021440,"Why is Michael on #bachelorinparadise  if he’s not ready to date??
I feel for Sierra.",Why is Michael on bachelorinparadise if he s not ready to date I feel for Sierra,2022-10-19 17:58:34+00:00,Twitter for iPhone,0,0,2,0,Negative
2,2,1582793231108308992,I think the best thing to come of this season is me realizing that I’m the Jill of every social situation ever 💃🏼✌🏻🤡 #bip  #BIP  #BachelorInParadise #ClassClown,I think the best thing to come of this season is me realizing that I m the Jill of every social situation ever bip BIP BachelorInParadise ClassClown,2022-10-19 17:58:07+00:00,Twitter for iPhone,0,0,2,0,Positive
3,3,1582793165978812416,Lizzo is always naked and this show has the censor box on butts. Ridiculous. 🙄🙄#BachelorInParadise,Lizzo is always naked and this show has the censor box on butts Ridiculous BachelorInParadise,2022-10-19 17:57:52+00:00,Twitter for iPhone,0,0,0,0,Negative
4,4,1582793149163835392,It's so sad how weak men are to women. Jacob had a woman who had a genuine connection with him but Kate gives him one erection and its Jill who. Kate doesn't even want him she wants his rose so serves him right thinking with his penis #BachelorInParadise,It s so sad how weak men are to women Jacob had a woman who had a genuine connection with him but Kate gives him one erection and its Jill who Kate doesn t even want him she wants his rose so serves him right thinking with his penis BachelorInParadise,2022-10-19 17:57:48+00:00,Twitter for Android,0,0,2,0,Negative
5,5,1582792683021422592,Why they gotta be b*tches Jill? #BachelorInParadise,Why they gotta be b tches Jill BachelorInParadise,2022-10-19 17:55:57+00:00,Twitter for Android,0,0,0,0,Negative
6,6,1582792561391177728,This season feels extremely manipulated by producers…#BachelorInParadise,This season feels extremely manipulated by producers BachelorInParadise,2022-10-19 17:55:28+00:00,Twitter for iPhone,0,0,1,0,Negative
7,7,1582792399310331905,I’m so sad someone already tweeted about this because this face had me REELING. They were treating her like the awkward mom figure in the friend group #bachelorinparadise https://t.co/lxutjZkHRH,I m so sad someone already tweeted about this because this face had me REELING They were treating her like the awkward mom figure in the friend group bachelorinparadise,2022-10-19 17:54:49+00:00,Twitter for iPhone,0,1,4,0,Negative
8,8,1582792219433451521,"Y’all, I just realized Luce &amp; I share a (real) birthday 🥴 I’m at a loss for words #BachelorInParadise #ThanksButNoThanks #HurricaneLace",Y all I just realized Luce amp I share a real birthday I m at a loss for words BachelorInParadise ThanksButNoThanks HurricaneLace,2022-10-19 17:54:06+00:00,Twitter for iPhone,0,0,1,0,Positive
9,9,1582792136436875264,Wow so Jill is pining away for Jacob while he is erecting feelings for Kate and Andrew is staying loyal to Brittany when Brittany is French kissing Tyler and jealous about his date with Shanae. Maybe Andrew and Jill should be together #BachelorInParadise #bachelorinparadiseabc,Wow so Jill is pining away for Jacob while he is erecting feelings for Kate and Andrew is staying loyal to Brittany when Brittany is French kissing Tyler and jealous about his date with Shanae Maybe Andrew and Jill should be together BachelorInParadise bachelorinparadiseabc,2022-10-19 17:53:46+00:00,Twitter for Android,0,0,0,0,Neutral
10,10,1582791878919204864,My favorite part In this episode was the fry conversation at the end 😆 🍟#bachelorinparadise,My favorite part In this episode was the fry conversation at the end bachelorinparadise,2022-10-19 17:52:45+00:00,Twitter for Android,0,0,0,0,Positive
11,11,1582791712639811584,I hope the new guys get to go back to the beach with the girls so they can meet the new girls and have a chance at finding love #BIP #bachelorinparadise,I hope the new guys get to go back to the beach with the girls so they can meet the new girls and have a chance at finding love BIP bachelorinparadise,2022-10-19 17:52:05+00:00,Twitter for iPhone,0,0,3,0,Positive
12,12,1582791621392838656,Kate is full of crap talking about wanting to respect Jill and not step on her toes and not do anything to intentionally hurt her AFTER sticking her tongue down Jacob's throat and grinding on him in the pool until he got an erection #BachelorInParadise #bachelorinparadiseabc,Kate is full of crap talking about wanting to respect Jill and not step on her toes and not do anything to intentionally hurt her AFTER sticking her tongue down Jacob s throat and grinding on him in the pool until he got an erection BachelorInParadise bachelorinparadiseabc,2022-10-19 17:51:44+00:00,Twitter for Android,0,4,1,0,Negative
